N�mero;Fuero;Nombre;Tipo de ente;Direcci�n;Localidad;Departamento judicial;Tel�fono;Latitud;Longitud
158;CIVIL Y COMERCIAL;CAMARA DE APELACION EN LO CIVIL Y COMERCIAL N� 1 SALA 1 - LA PLATA;CAMARA;CALLE 13 ENTRE 47 y 48 - PISO 1;LA PLATA;LA PLATA;4225740 int: 42430/31;-34.9190596;-57.95803972
159;CIVIL Y COMERCIAL;CAMARA DE APELACION EN LO CIVIL Y COMERCIAL N� 1 SALA 2 - LA PLATA;CAMARA;CALLE 13 ENTRE 47 y 48 - PISO 1;LA PLATA;LA PLATA;410440 int: 42432/38;-34.9190596;-57.95803972
160;CIVIL Y COMERCIAL;CAMARA DE APELACION EN LO CIVIL Y COMERCIAL N� 1 SALA 3 - LA PLATA;CAMARA;CALLE 13 ENTRE 47 y 48 - PISO 1;LA PLATA;LA PLATA;4270760 int: 42434/35/39;-34.9190596;-57.95803972
161;CIVIL Y COMERCIAL;CAMARA DE APELACION EN LO CIVIL Y COMERCIAL N� 2 - LA PLATA;CAMARA;CALLE 13 ENTRE 47 y 48 - PISO 1;LA PLATA;LA PLATA;4229533 int: 42418;-34.9190596;-57.95803972
162;CIVIL Y COMERCIAL;CAMARA DE APELACION EN LO CIVIL Y COMERCIAL N� 2 SALA 1 - LA PLATA;CAMARA;CALLE 13 ENTRE 47 y 48 - PISO 1;LA PLATA;LA PLATA;4104400 int: 42424/25;-34.9190596;-57.95803972
163;CIVIL Y COMERCIAL;CAMARA DE APELACION EN LO CIVIL Y COMERCIAL N� 2 SALA 2 - LA PLATA;CAMARA;CALLE 13 ENTRE 47 y 48 - PISO 1;LA PLATA;LA PLATA;4104400 int: 42416/27;-34.9190596;-57.95803972
164;CIVIL Y COMERCIAL;CAMARA DE APELACION EN LO CIVIL Y COMERCIAL N� 2 SALA 3 - LA PLATA;CAMARA;CALLE 13 ENTRE 47 y 48 - PISO 1;LA PLATA;LA PLATA;4104400 int: 42427/28;-34.9190596;-57.95803972
936;CONTENCIOSO ADMINISTRATIVO;JUZGADO EN LO CONTENCIOSO ADMINISTRATIVO 1;JUZGADO;CALLE 45 N� 776;LA PLATA;LA PLATA;4104400 int: 55134/55147/55148;-34.914678;-57.957849
198;PENAL;CAMARA DE APELACION Y GARANTIAS EN LO PENAL - LA PLATA;CAMARA;CALLE 8 ENTRE 56 Y 57;LA PLATA;LA PLATA;4102487 int: 52487;-34.9189876;-57.94638272
207;PENAL;CAMARA DE APELACION Y GARANTIAS EN LO PENAL SALA 1- LA PLATA;CAMARA;CALLE 8 ENTRE 56 Y 57;LA PLATA;LA PLATA;4102400 int: 52611-52290;-34.9189876;-57.94638272
213;PENAL;CAMARA DE APELACION Y GARANTIAS EN LO PENAL SALA 2 - LA PLATA;CAMARA;CALLE 8 ENTRE 56 Y 57;LA PLATA;LA PLATA;4102460 int: 52261;-34.9189876;-57.94638272
217;PENAL;CAMARA DE APELACION Y GARANTIAS EN LO PENAL SALA 3 - LA PLATA;CAMARA;CALLE 8 ENTRE 56 Y 57;LA PLATA;LA PLATA;4102400 int: 52357;-34.9189876;-57.94638272
218;PENAL;CAMARA DE APELACION Y GARANTIAS EN LO PENAL SALA 4 - LA PLATA;CAMARA;CALLE 8 ENTRE 56 Y 57;LA PLATA;LA PLATA;4102400 int: 52307-52361;-34.9189876;-57.94638272
263;PENAL;CENTRO DE ASISTENCIA A LA VICTIMA;CENTRO DE ASISTENCIA A LA VICTIMA;CALLE 7 ENTRE 56 Y 57;LA PLATA;LA PLATA;4274986;-34.9178804;-57.94528042
278;PENAL;CURADURIA OFICIAL;CURADURIA OFICIAL;CALLE 13 715 ENTRE 46 Y 47;LA PLATA;LA PLATA;4223329;-34.9182354;-57.9589852
315;PENAL;DEFENSORIA GENERAL;DEFENSORIA;CALLE 8 ENTRE 56 Y 57 - PISO 3;LA PLATA;LA PLATA;4121248;-34.9189876;-57.94638272
326;PENAL;FISC. DE TRANS. Y EJECUCION PENAL;FISCALIA;CALLE 54 N�590 3� PISO;LA PLATA;LA PLATA;4103825;-34.9164387;-57.94696082
327;PENAL;FISCALIA - FUERO DE RESPONSABILIDAD PENAL JUVENIL;FISCALIA;CALLE 7 ENTRE 56 Y 57;LA PLATA;LA PLATA;4121289;-34.9178804;-57.94528042
334;PENAL;FISCALIA DE FLAGRANCIA;FISCALIA;CALLE 54 N� 590;LA PLATA;LA PLATA;4103838;-34.9164387;-57.94696082
365;PENAL;FISCALIA GENERAL;FISCALIA;CALLE 7 ENTRE 56 Y 57;LA PLATA;LA PLATA;4277500;-34.9178804;-57.94528042
382;CIVIL Y COMERCIAL;JUZGADO CIVIL Y COMERCIAL 1;JUZGADO;CALLE 13 ENTRE 47 y 48;LA PLATA;LA PLATA;4104400 int: 42248/42253;-34.9190596;-57.95803972
383;CIVIL Y COMERCIAL;JUZGADO CIVIL Y COMERCIAL 4;JUZGADO;CALLE 13 ENTRE 47 y 48;LA PLATA;LA PLATA;4104400 int: 42266/44457/42238;-34.9190596;-57.95803972
425;FAMILIA;JUZGADO DE FAMILIA 1;JUZGADO;CALLE 46 N� 870;LA PLATA;LA PLATA;4104400 int: 56270;-34.9205959;-57.95800032
445;FAMILIA;JUZGADO DE FAMILIA 2;JUZGADO;CALLE 46 N� 870;LA PLATA;LA PLATA;4104400 int: 56303/56211/56204;-34.9205959;-57.95800032
462;FAMILIA;JUZGADO DE FAMILIA 3;JUZGADO;CALLE 46 N� 870;LA PLATA;LA PLATA;4215455;-34.9205959;-57.95800032
470;FAMILIA;JUZGADO DE FAMILIA 4;JUZGADO;CALLE 58 N� 822;LA PLATA;LA PLATA;4224337;-34.9233475;-57.94832521
478;FAMILIA;JUZGADO DE FAMILIA 5;JUZGADO;CALLE 58 N� 822;LA PLATA;LA PLATA;4211449;-34.9233475;-57.94832521
485;FAMILIA;JUZGADO DE FAMILIA 6;JUZGADO;CALLE 55 N� 763;LA PLATA;LA PLATA;4820619;-34.9203217;-57.95005552
595;PENAL;JUZGADO DE GARANTIAS DEL JOVEN 1;JUZGADO;CALLE 8 ENTRE 56 Y 57;LA PLATA;LA PLATA;4102400 int: 52465/52245;-34.9189876;-57.94638272
606;PENAL;JUZGADO DE GARANTIAS DEL JOVEN 2;JUZGADO;CALLE 8 ENTRE 56 Y 57 - PISO 2;LA PLATA;LA PLATA;4102400 int: 52680/52780;-34.9189876;-57.94638272
610;PENAL;JUZGADO DE GARANTIAS DEL JOVEN 3;JUZGADO;CALLE 8 ENTRE 56 Y 57;LA PLATA;LA PLATA;4102478;-34.9189876;-57.94638272
861;PENAL;JUZGADO DE RESPONSABILIDAD PENAL JUVENIL 1;JUZGADO;CALLE 7 N� 758 INTERSECCION 524 Y 525;LA PLATA;LA PLATA;4891219;-34.8941856;-57.97776292
865;PENAL;JUZGADO DE RESPONSABILIDAD PENAL JUVENIL 2;JUZGADO;CALLE 7 N� 758 INTERSECCION 524 Y 525;LA PLATA;LA PLATA;4213165;-34.8941856;-57.97776292
875;CIVIL Y COMERCIAL;JUZGADO EN LO CIVIL Y COMERCIAL 10;JUZGADO;CALLE 13 ENTRE 47 y 48;LA PLATA;LA PLATA;4104400 int: 42187;-34.9190596;-57.95803972
879;CIVIL Y COMERCIAL;JUZGADO EN LO CIVIL Y COMERCIAL 11;JUZGADO;CALLE 13 ENTRE 47 y 48;LA PLATA;LA PLATA;4104400 int: 42575/44464/42931;-34.9190596;-57.95803972
883;CIVIL Y COMERCIAL;JUZGADO EN LO CIVIL Y COMERCIAL 12;JUZGADO;CALLE 13 ENTRE 47 y 48;LA PLATA;LA PLATA;4104400 int: 44458/42850/42273;-34.9190596;-57.95803972
886;CIVIL Y COMERCIAL;JUZGADO EN LO CIVIL Y COMERCIAL 13;JUZGADO;CALLE 13 ENTRE 47 y 48;LA PLATA;LA PLATA;4104400 int: 42315/43505/42888;-34.9190596;-57.95803972
889;CIVIL Y COMERCIAL;JUZGADO EN LO CIVIL Y COMERCIAL 14;JUZGADO;CALLE 13 ENTRE 47 y 48;LA PLATA;LA PLATA;4104400 int: 42196/42197/44467/42204;-34.9190596;-57.95803972
893;CIVIL Y COMERCIAL;JUZGADO EN LO CIVIL Y COMERCIAL 16;JUZGADO;CALLE 13 ENTRE 47 y 48;LA PLATA;LA PLATA;4104468;-34.9190596;-57.95803972
895;CIVIL Y COMERCIAL;JUZGADO EN LO CIVIL Y COMERCIAL 17;JUZGADO;CALLE 47 N� 957 ENTRE 14 Y 15;LA PLATA;LA PLATA;4230857;-34.9200887;-57.96014521
896;CIVIL Y COMERCIAL;JUZGADO EN LO CIVIL Y COMERCIAL 18;JUZGADO;CALLE 13 ENTRE 47 y 48;LA PLATA;LA PLATA;4104400 int: 42568;-34.9190596;-57.95803972
897;CIVIL Y COMERCIAL;JUZGADO EN LO CIVIL Y COMERCIAL 19;JUZGADO;CALLE 13 N� 690;LA PLATA;LA PLATA;4104400 int: 56210/56305/56345;-34.9178694;-57.95954842
899;CIVIL Y COMERCIAL;JUZGADO EN LO CIVIL Y COMERCIAL 2;JUZGADO;CALLE 13 ENTRE 47 y 48;LA PLATA;LA PLATA;4104400 int: 44456;-34.9190596;-57.95803972
903;CIVIL Y COMERCIAL;JUZGADO EN LO CIVIL Y COMERCIAL 20;JUZGADO;CALLE 13 ENTRE 47 y 48;LA PLATA;LA PLATA;4104400 int: 42758;-34.9190596;-57.95803972
904;CIVIL Y COMERCIAL;JUZGADO EN LO CIVIL Y COMERCIAL 21;JUZGADO;CALLE 13 ENTRE 47 y 48;LA PLATA;LA PLATA;4104400 int: 42177/44473;-34.9190596;-57.95803972
905;CIVIL Y COMERCIAL;JUZGADO EN LO CIVIL Y COMERCIAL 22;JUZGADO;CALLE 13 ENTRE 47 y 48;LA PLATA;LA PLATA;4104400 int: 44460;-34.9190596;-57.95803972
906;CIVIL Y COMERCIAL;JUZGADO EN LO CIVIL Y COMERCIAL 23;JUZGADO;CALLE 13 ENTRE 47 y 48;LA PLATA;LA PLATA;4104400 int: 42297/42289;-34.9190596;-57.95803972
907;CIVIL Y COMERCIAL;JUZGADO EN LO CIVIL Y COMERCIAL 25 ;JUZGADO;CALLE 13 ENTRE 47 y 48;LA PLATA;LA PLATA;4104400 int: 42219/44450;-34.9190596;-57.95803972
908;CIVIL Y COMERCIAL;JUZGADO EN LO CIVIL Y COMERCIAL 27;JUZGADO;CALLE 13 ENTRE 47 y 48;LA PLATA;LA PLATA;4104400 int: 42309;-34.9190596;-57.95803972
916;CIVIL Y COMERCIAL;JUZGADO EN LO CIVIL Y COMERCIAL 5;JUZGADO;CALLE 13 ENTRE 47 y 48;LA PLATA;LA PLATA;4104400 int: 42318;-34.9190596;-57.95803972
920;CIVIL Y COMERCIAL;JUZGADO EN LO CIVIL Y COMERCIAL 6;JUZGADO;CALLE 13 ENTRE 47 y 48;LA PLATA;LA PLATA;4104400 int: 42151/42152/42145;-34.9190596;-57.95803972
926;CIVIL Y COMERCIAL;JUZGADO EN LO CIVIL Y COMERCIAL 7 ;JUZGADO;CALLE 13 ENTRE 47 y 48;LA PLATA;LA PLATA;4104400 int: 42173/75;-34.9190596;-57.95803972
930;CIVIL Y COMERCIAL;JUZGADO EN LO CIVIL Y COMERCIAL 8 ;JUZGADO;CALLE 13 ENTRE 47 y 48;LA PLATA;LA PLATA;4104400 int: 42223/24;-34.9190596;-57.95803972
932;CIVIL Y COMERCIAL;JUZGADO EN LO CIVIL Y COMERCIAL 9;JUZGADO;CALLE 13 ENTRE 47 y 48;LA PLATA;LA PLATA;4104400 int: 42193/42209;-34.9190596;-57.95803972
937;CONTENCIOSO ADMINISTRATIVO;JUZGADO EN LO CONTENCIOSO ADMINISTRATIVO 1;JUZGADO;CALLE 45 N� 776;LA PLATA;LA PLATA;4104400 int: 55134/55147/55148;-34.914678;-57.957849
185;CONTENCIOSO ADMINISTRATIVO;CAMARA DE APELACION EN LO CONTENCIOSO ADMINISTRATIVO - LA PLATA. QUILMES. LOMAS DE ZAMORA;CAMARA;CALLE 53 N� 540;LA PLATA;LA PLATA;4274146;-34.915186;-57.94643
940;CONTENCIOSO ADMINISTRATIVO;JUZGADO EN LO CONTENCIOSO ADMINISTRATIVO 2;JUZGADO;CALLE 58 N� 577;LA PLATA;LA PLATA;4821843;-34.9187786;-57.94352472
943;CONTENCIOSO ADMINISTRATIVO;JUZGADO EN LO CONTENCIOSO ADMINISTRATIVO 3;JUZGADO;CALLE 48 N�  837 1/2;LA PLATA;LA PLATA;4249879;-34.9180667;-57.95621242
944;CONTENCIOSO ADMINISTRATIVO;JUZGADO EN LO CONTENCIOSO ADMINISTRATIVO 4;JUZGADO;CALLE 58 N� 577;LA PLATA;LA PLATA;4821459;-34.9187786;-57.94352472
1041;TODOS;SUPREMA CORTE DE JUSTICIA;SUPREMA CORTE DE JUSTICIA;13 E/ 47 Y 48 PISO 1;LA PLATA;LA PLATA;4104400;-34.9192412;-57.95815762
1042;PENAL;TRIBUNAL DE CASACION PENAL;TRIBUNAL;CALLE 55 N� 584/86;LA PLATA;LA PLATA;4172400 int: 64125;-34.9203217;-57.95005552
1043;PENAL;TRIBUNAL DE CASACION PENAL SALA 1;TRIBUNAL;CALLE 7 ENTRE 56 Y 57;LA PLATA;LA PLATA;4102425;-34.9178804;-57.94528042
1044;PENAL;TRIBUNAL DE CASACION PENAL SALA 2;TRIBUNAL;CALLE 7 ENTRE 56 Y 57;LA PLATA;LA PLATA;4102574;-34.9178804;-57.94528042
1045;PENAL;TRIBUNAL DE CASACION PENAL SALA 3;TRIBUNAL;CALLE 7 ENTRE 56 Y 57;LA PLATA;LA PLATA;4102430;-34.9178804;-57.94528042
1046;PENAL;TRIBUNAL DE CASACION PENAL SALA 4;TRIBUNAL;CALLE 7 ENTRE 56 Y 57;LA PLATA;LA PLATA;4102437;-34.9178804;-57.94528042
1047;PENAL;TRIBUNAL DE CASACION PENAL SALA 5;TRIBUNAL;CALLE 7 ENTRE 56 Y 57;LA PLATA;LA PLATA;4102587;-34.9178804;-57.94528042
1048;PENAL;TRIBUNAL DE CASACION PENAL SALA 6;TRIBUNAL;CALLE 7 ENTRE 56 Y 57;LA PLATA;LA PLATA;4102439;-34.9178804;-57.94528042
1121;PENAL;TRIBUNAL EN LO CRIMINAL 1;TRIBUNAL;CALLE 8 ENTRE 56 Y 57 PISO 1;LA PLATA;LA PLATA;4102453;-34.9189876;-57.94638272
1134;PENAL;TRIBUNAL EN LO CRIMINAL 2;TRIBUNAL;CALLE 8 ENTRE 56 Y 57;LA PLATA;LA PLATA;4102445;-34.9189876;-57.94638272
1143;PENAL;TRIBUNAL EN LO CRIMINAL 3;TRIBUNAL;CALLE 8 ENTRE 56 Y 57 - PISO 1;LA PLATA;LA PLATA;4102471;-34.9189876;-57.94638272
1151;PENAL;TRIBUNAL EN LO CRIMINAL 4;TRIBUNAL;CALLE 8 ENTRE 56 Y 57 - PISO 2;LA PLATA;LA PLATA;4102400 int: 52284;-34.9189876;-57.94638272
1157;PENAL;TRIBUNAL EN LO CRIMINAL 5;TRIBUNAL;CALLE 8 ENTRE 56 Y 57 - PISO 3;LA PLATA;LA PLATA;4102516;-34.9189876;-57.94638272
1170;PENAL;UFD - RESPONSABILIDAD PENAL JUVENIL 14;DEFENSORIA;CALLE 8 ENTRE 56 Y 57 - PISO 1;LA PLATA;LA PLATA;4121260;-34.9189876;-57.94638272
1171;PENAL;UFD - RESPONSABILIDAD PENAL JUVENIL 15;DEFENSORIA;CALLE 8 ENTRE 56 Y 57 - PISO 1;LA PLATA;LA PLATA;4121259;-34.9189876;-57.94638272
1172;PENAL;UFD - RESPONSABILIDAD PENAL JUVENIL 16;DEFENSORIA;CALLE 8 ENTRE 56 Y 57 - PISO 1;LA PLATA;LA PLATA;4121258;-34.9189876;-57.94638272
1173;PENAL;UFD - RESPONSABILIDAD PENAL JUVENIL 20;DEFENSORIA;CALLE 8 ENTRE 56 Y 57 - PISO 1;LA PLATA;LA PLATA;4121257;-34.9189876;-57.94638272
1175;PENAL;UFD 1;DEFENSORIA;CALLE 8 ENTRE 56 Y 57 - PISO 4;LA PLATA;LA PLATA;4121238;-34.9189876;-57.94638272
1176;PENAL;UFD 10;DEFENSORIA;CALLE 8 ENTRE 56 Y 57;LA PLATA;LA PLATA;4121242;-34.9189876;-57.94638272
1177;PENAL;UFD 11;DEFENSORIA;CALLE 13 ENTRE 47 y 48 ;LA PLATA;LA PLATA;4102622;-34.9190596;-57.95803972
1178;PENAL;UFD 12;DEFENSORIA;CALLE 56 N� 596;LA PLATA;LA PLATA;4823542;-34.917774;-57.94552142
1179;PENAL;UFD 13;DEFENSORIA;CALLE 47 N� 748;LA PLATA;LA PLATA;4102683;-34.91587;-57.955172
1180;PENAL;UFD 17;DEFENSORIA;CALLE 14 N� 824;LA PLATA;LA PLATA;4392501;-34.9205959;-57.95800032
1181;PENAL;UFD 18;DEFENSORIA;CALLE 14 N� 824;LA PLATA;LA PLATA;4392503;-34.9205959;-57.95800032
1182;PENAL;UFD 19;DEFENSORIA;CALLE 14 N� 824;LA PLATA;LA PLATA;4392505;-34.9205959;-57.95800032
1183;PENAL;UFD 2;DEFENSORIA;CALLE 14 N� 824 ENTRE 48 Y 49;LA PLATA;LA PLATA;4392509;-34.9205959;-57.95800032
1184;PENAL;UFD 3;DEFENSORIA;CALLE 8 ENTRE 56 Y 57 PISO 4;LA PLATA;LA PLATA;4121239;-34.9189876;-57.94638272
1185;PENAL;UFD 4;DEFENSORIA;CALLE 8 ENTRE 56 Y 57;LA PLATA;LA PLATA;4270308;-34.9189876;-57.94638272
1186;PENAL;UFD 5;DEFENSORIA;CALLE 14 N� 720 ENTRE 46 y 47;LA PLATA;LA PLATA;4824472;-34.9192775;-57.95996412
1187;PENAL;UFD 6;DEFENSORIA;CALLE 8 ENTRE 56 y 57;LA PLATA;LA PLATA;4121254;-34.9189876;-57.94638272
1188;PENAL;UFD 7;DEFENSORIA;CALLE 14 N� 824 ENTRE 48 y 49;LA PLATA;LA PLATA;4392511;-34.9205959;-57.95800032
1189;PENAL;UFD 8;DEFENSORIA;CALLE 8 ENTRE 56 Y 57;LA PLATA;LA PLATA;4121241;-34.9189876;-57.94638272
1190;PENAL;UFD 9;DEFENSORIA;CALLE 14 N�748 ;LA PLATA;LA PLATA;4102691;-34.9192775;-57.95996412
1193;PENAL;UFIJ  4;FISCALIA;CALLE 7 ENTRE 56 Y 57;LA PLATA;LA PLATA;4274984;-34.9178804;-57.94528042
1194;PENAL;UFIJ - AUTORES IGNORADOS 9;FISCALIA;CALLE 7 ENTRE 56 Y 57;LA PLATA;LA PLATA;4277495;-34.9178804;-57.94528042
1197;PENAL;UFIJ - DELITOS CULPOSOS 10;FISCALIA;CALLE 7 ENTRE 56 Y 57;LA PLATA;LA PLATA;4274987;-34.9178804;-57.94528042
1198;PENAL;UFIJ - DELITOS CULPOSOS 12;FISCALIA;CALLE 7 ENTRE 56 Y 57;LA PLATA;LA PLATA;4121213;-34.9178804;-57.94528042
1199;PENAL;UFIJ - DELITOS CULPOSOS 14;FISCALIA;CALLE 7 ENTRE 56 Y 57;LA PLATA;LA PLATA;4274987;-34.9178804;-57.94528042
1200;PENAL;UFIJ - INVESTIGACIONES COMPLEJAS 8;FISCALIA;CALLE 54 N� 590;LA PLATA;LA PLATA;4103871;-34.9164387;-57.94696082
1205;PENAL;UFIJ - VIOLENCIA DE GENERO Y/O FAMILIAR 13;FISCALIA;CALLE 7 ENTRE 56 Y 57;LA PLATA;LA PLATA;4277496;-34.9178804;-57.94528042
1206;PENAL;UFIJ 1;FISCALIA;CALLE 7 ENTRE 56 Y 57;LA PLATA;LA PLATA;4225809;-34.9178804;-57.94528042
1207;PENAL;UFIJ 11;FISCALIA;CALLE 7 ENTRE 56 Y 57;LA PLATA;LA PLATA;4274989;-34.9178804;-57.94528042
1208;PENAL;UFIJ 2;FISCALIA;CALLE 7 ENTRE 56 Y 57;LA PLATA;LA PLATA;4274981;-34.9178804;-57.94528042
1209;PENAL;UFIJ 3;FISCALIA;CALLE 7 ENTRE 56 Y 57;LA PLATA;LA PLATA;4274983;-34.9178804;-57.94528042
1210;PENAL;UFIJ 5;FISCALIA;CALLE 7 ENTRE 56 Y 57;LA PLATA;LA PLATA;4271318;-34.9178804;-57.94528042
1211;PENAL;UFIJ 6;FISCALIA;CALLE 7 ENTRE 56 Y 57;LA PLATA;LA PLATA;4274985;-34.9178804;-57.94528042
1212;PENAL;UFIJ 7;FISCALIA;CALLE 7 ENTRE 56 Y 57;LA PLATA;LA PLATA;4894277;-34.9178804;-57.94528042
112;PENAL;AYUDANTIA FISCAL - LOBOS;AYUDANTIA FISCAL;AYACUCHO N� 140 PISO 1;LOBOS;LA PLATA;424755;-35.184493;-59.095179
699;PAZ;JUZGADO DE PAZ;JUZGADO;BALCARCE 83;LOBOS;LA PLATA;421604;-35.186646;-59.096017
113;PENAL;AYUDANTIA FISCAL - MAGDALENA;AYUDANTIA FISCAL;CALLE MAIPU 695 ESQUINA 25 DE MAYO;MAGDALENA;LA PLATA;452222;-35.0786348;-57.51570452
703;PAZ;JUZGADO DE PAZ;JUZGADO;MAIP� Y 9 DE JULIO;MAGDALENA;LA PLATA;453001;-35.0777063;-57.51549612
709;PAZ;JUZGADO DE PAZ;JUZGADO;ITALIA 453;MONTE;LA PLATA;420374;-35.4426155;-58.80509172
1169;PENAL;UFD - PRESIDENTE PERON;DEFENSORIA;LARRALDE 241;PRESIDENTE PERON;LA PLATA;491034;-34.9170043;-58.37983772
1201;PENAL;UFIJ - PRESIDENTE PERON 1;FISCALIA;LARRALDE N� 241;PRESIDENTE PERON;LA PLATA;491035;-34.9170043;-58.37983772
1202;PENAL;UFIJ - PRESIDENTE PERON 2;FISCALIA;JAURECHE 33 ENTRE 7 Y 8;PRESIDENTE PERON;LA PLATA;477926;-34.9170481;-58.37567982
128;PENAL;AYUDANTIA FISCAL - ROJAS;AYUDANTIA FISCAL;FRANCISCO ROCA 578;ROJAS;JUNIN;466295;-34.199409;-60.735635
718;PAZ;JUZGADO DE PAZ;JUZGADO;DANTAS 3068;RANCHOS;LA PLATA;481206;-35.516605;-58.318638
129;PENAL;AYUDANTIA FISCAL - ROQUE PEREZ;AYUDANTIA FISCAL;HIPOLITO IRIGOYEN Y NECOCHEA;ROQUE PEREZ;LA PLATA;491167;-35.402575;-59.33801312
720;PAZ;JUZGADO DE PAZ;JUZGADO;AVELLANEDA 1306;ROQUE PEREZ;LA PLATA;491064;-35.3987203;-59.33304062
245;PENAL;CASA DE JUSTICIA - SALADILLO;CASA DE JUSTICIA;MINISTRO SOJO 3128 ENTRE SAN MARTIN Y RIVADAVIA;SALADILLO;LA PLATA;450668;-35.6438634;-59.7694062
721;PAZ;JUZGADO DE PAZ;JUZGADO;BARTOLOME MITRE 3247;SALADILLO;LA PLATA;453211;-35.638747;-59.78173
1174;PENAL;UFD - SALADILLO;DEFENSORIA;MINISTRO SOJO 3375;SALADILLO;LA PLATA;450393;-35.6360009;-59.77984492
1203;PENAL;UFIJ - SALADILLO 1;FISCALIA;ALVAREZ DE TOLEDO 2903 ESQUINA ROCA;SALADILLO;LA PLATA;455250;-35.6374739;-59.77556712
1204;PENAL;UFIJ - SALADILLO 2;FISCALIA;AVENIDA MORENO 3048;SALADILLO;LA PLATA;450459;-35.6389531;-59.77805022
118;PENAL;AYUDANTIA FISCAL - MONTE;AYUDANTIA FISCAL;AVENIDA SAN MARTIN 782;SAN MIGUEL DEL MONTE;LA PLATA;;-35.440802;-58.80811
634;PAZ;JUZGADO DE PAZ;JUZGADO;GERARDO RISSO 241;ARRECIFES;SAN NICOL�S;452408;-34.064819;-60.107158
1582;PENAL;UNIDAD FUNCIONAL DE DEFENSA 3;DEFENSORIA;HIPOLITO YRIGOYEN 221;GENERAL MADARIAGA;DOLORES;553413;-36.996171;-57.138344
1192;PENAL;UFI - SAN VICENTE;FISCALIA;GENERAL PAZ 111 ESQUINA VIDAL;SAN VICENTE;LA PLATA;422989;-34.9844473;-58.37843382
735;PAZ;JUZGADO DE PAZ;JUZGADO;CALLE 32 N� 1155;VER�NICA;LA PLATA;480410;-35.385797;-57.341934
631;PAZ;JUZGADO DE PAZ;JUZGADO;BYNON 1732/36;ADROGUE;LOMAS DE ZAMORA;42940404;-34.7956838;-58.38549421
246;TODOS;CASA DE JUSTICIA ADROGUE;CASA DE JUSTICIA;DIAGONAL TOLL 1560;ALMIRANTE BROWN;LOMAS DE ZAMORA;42947932;-34.798551;-58.384926
329;PENAL;FISCALIA DE CAMARA;FISCALIA;MITRE 2615;AVELLANEDA;LOMAS DE ZAMORA;42654789;-34.6761651;-58.34903012
433;FAMILIA;JUZGADO DE FAMILIA 1;JUZGADO;DORREGO E INDEPENDENCIA;AVELLANEDA;LOMAS DE ZAMORA;42052705 int: 110;-34.677924;-58.34910492
453;FAMILIA;JUZGADO DE FAMILIA 2;JUZGADO;DORREGO E INDEPENDENCIA;AVELLANEDA;LOMAS DE ZAMORA;42052705 int: 210;-34.677924;-58.34910492
499;PENAL;JUZGADO DE GARANTIAS;JUZGADO;AVENIDA MITRE 2615;AVELLANEDA;LOMAS DE ZAMORA;42059700 int: 1083;-34.6760781;-58.3488952
520;PENAL;JUZGADO DE GARANTIAS 10;JUZGADO;AVENIDA MITRE 2615;AVELLANEDA;LOMAS DE ZAMORA;42059917 int: 1085;-34.6760781;-58.3488952
871;CIVIL Y COMERCIAL;JUZGADO EN LO CIVIL Y COMERCIAL 1;JUZGADO;IRIARTE 158;AVELLANEDA;LOMAS DE ZAMORA;42059541;-34.6699728;-58.35198942
901;CIVIL Y COMERCIAL;JUZGADO EN LO CIVIL Y COMERCIAL 2;JUZGADO;IRIARTE 142;AVELLANEDA;LOMAS DE ZAMORA;42052449 int: 108;-34.6699728;-58.35198942
1033;PENAL;OFICINA DE RESOLUCION ALTERNATIVA DE CONFLICTOS Y ASISTENCIA A LA VICTIMA;CENTRO DE ASISTENCIA A LA VICTIMA;MITRE 2615;AVELLANEDA;LOMAS DE ZAMORA;42654788 int: 1105/1106;-34.6761651;-58.34903012
1051;LABORAL;TRIBUNAL DE TRABAJO 1;TRIBUNAL;AVENIDA MITRE 363 PISO 2;AVELLANEDA;LOMAS DE ZAMORA;42011497 int: 103;-34.6593595;-58.36930962
1057;LABORAL;TRIBUNAL DE TRABAJO 2;TRIBUNAL;AVENIDA MITRE 363 PISO 1;AVELLANEDA;LOMAS DE ZAMORA;42013422;-34.6593595;-58.36930962
1062;LABORAL;TRIBUNAL DE TRABAJO 3;TRIBUNAL;AVENIDA MITRE 363 ;AVELLANEDA;LOMAS DE ZAMORA;42013401;-34.6593595;-58.36930962
1279;PENAL;UNIDAD FISCAL DE INVESTIGACION Y JUICIO 1;FISCALIA;MITRE 2615;AVELLANEDA;LOMAS DE ZAMORA;42654789 int: 1043/1044/1042;-34.6761651;-58.34903012
1348;PENAL;UNIDAD FISCAL DE INVESTIGACION Y JUICIO 2;FISCALIA;MITRE 2615;AVELLANEDA;LOMAS DE ZAMORA;42654790 int: 1016/1015/1013;-34.6761651;-58.34903012
1379;PENAL;UNIDAD FISCAL DE INVESTIGACION Y JUICIO 3;FISCALIA;MITRE 2615;AVELLANEDA;LOMAS DE ZAMORA;42654792 int: 1058/1057/1055;-34.6761651;-58.34903012
1399;PENAL;UNIDAD FISCAL DE INVESTIGACION Y JUICIO 4;FISCALIA;MITRE 2615;AVELLANEDA;LOMAS DE ZAMORA;42654793 int: 1030/1029/1027;-34.6761651;-58.34903012
1476;PENAL;UNIDAD FISCAL DE INVESTIGACION Y JUICIO FLAGRANCIA 5;FISCALIA;MITRE 2615;AVELLANEDA;LOMAS DE ZAMORA;42653075 int: 1061/1060;-34.6761651;-58.34903012
